link,p_request,r_response,window,failure_probability,mean_requests,var_requests,mean_responses,expected_extra_hashes,worst_case_extra_hashes,mean_requests_given_success,mean_requests_given_boundary,mean_requests_to_observed_rejection_given_boundary,system_failure_probability,expected_link_bits,expected_extra_link_bits_vs_one_exchange,legacy_expected_extra_hash_time_s,legacy_worst_case_extra_hash_time_s
AuC--CH,0.08,0.04,4,4.2666593849013165e-05,1.1321980677152976,0.14939294000588554,1.041622222298074,0.09040517904182777,3,1.1320737710815651,4.045281096053596,5.132237617792727,6.913691171983594e-05,1460.8072348889857,116.8072348889857,2.892965729338489e-05,0.0009600000000000001
CH--AS,0.12,0.06,5,2.647144731738396e-05,1.2088654842271307,0.25224299080079726,1.063801626119875,0.14493150087066878,4,1.2087632048871237,5.072523987619433,6.2088876239830695,6.913691171983594e-05,,,4.637808027861401e-05,0.00128
