kappa,spectral_radius,lag1_loss_correlation,required_window,failure_at_required_window
0.0,0.09999999999999998,0.0,5,1.0526310249310389e-05
0.049999999999999996,0.11329279149669233,0.01422222222222222,5,1.7251098475353988e-05
0.09999999999999999,0.12740695324215578,0.02844444444444444,5,2.7282452618184798e-05
0.15,0.14213520090762835,0.042666666666666665,5,4.166929050353562e-05
0.19999999999999998,0.1573212111192934,0.05688888888888888,5,6.161727756083092e-05
0.24999999999999997,0.17285079339994094,0.0711111111111111,5,8.84891703020174e-05
0.3,0.18864131445842197,0.08533333333333333,6,2.3354917002434683e-05
0.35,0.20463280191395603,0.09955555555555554,6,3.4633360036539467e-05
0.39999999999999997,0.22078132126023672,0.11377777777777776,6,5.004012964544655e-05
0.44999999999999996,0.23705428530816883,0.12799999999999997,6,7.064667510319526e-05
0.49999999999999994,0.25342719282327014,0.1422222222222222,6,9.770093290608454e-05
0.5499999999999999,0.2698813672975569,0.1564444444444444,7,3.579793728589314e-05
0.6,0.2864023809312915,0.17066666666666666,7,5.072707453878548e-05
0.6499999999999999,0.3029789458130569,0.18488888888888885,7,7.059260913113063e-05
0.7,0.3196021248190078,0.19911111111111107,7,9.664197711535934e-05
0.7499999999999999,0.33626476309307424,0.2133333333333333,8,4.383308762752902e-05
0.7999999999999999,0.35296107330752274,0.2275555555555555,8,6.12236040681794e-05
0.85,0.36968632937532536,0.24177777777777776,8,8.428017409041233e-05
0.8999999999999999,0.38643663756185676,0.25599999999999995,9,4.424190788913454e-05
0.95,0.4032087634929608,0.2702222222222222,9,6.19440408897436e-05
