budget,robust_window,failure_probability
0,9,4.42418661568505e-05
1,10,4.813842535266255e-05
2,11,5.2046596132520154e-05
3,12,5.5940003990075946e-05
4,13,5.980787722715588e-05
5,14,6.364333180546922e-05
